immigration,er,an,ar,on,le,ll,en,in,el,ma
Greek,is,os,an,ou,as,ri,io,ni,ko,st
European,an,er,ar,ri,in,ma,ch,en,el,le
CelticEnglish,ar,er,on,an,ll,le,ha,in,en,ma
EastAsian,an,hi,ng,sh,ka,in,ma,ha,ta,ak
Muslim,ha,an,ma,am,ar,ah,al,ad,sa,ra
Hispanic,ar,an,er,ra,ma,el,al,ri,ro,os
SouthAsian,an,ha,ra,ar,sh,ma,na,am,al,in
Nordic,en,er,an,ar,se,st,ri,in,nd,ha
Jewish,an,ha,er,sh,el,ar,ra,al,on,ma
African,an,ma,am,ar,ha,on,in,al,la,en
Others,ou,an,ar,ra,ma,er,on,ba,in,am
Oceania,an,on,ar,le,er,ma,al,el,la,li
